original_address	engagement_date	mar_full_address	mar_latitude	mar_longitude	mar_ward	mar_census_tract	mar_cluster	mar_anc	mar_psa	mar_precinct	mar_zip	mar_has_condo	mar_has_res	mar_res_type	mar_confidence	mar_x	mar_y	mar_id	diagnostic
"Klingle Road, NW (Under 3200 Connecticut Ave Bridge)"	"11/15/2015"	"3200 CONNECTICUT AVENUE NW"	"38.93193525"	"-77.05657054"	"Ward 3"	"000502"	"Cluster 15"	"ANC 3C"	"Police Service Area 204"	"Precinct 26"	"20008"	"N"	"N"	"NON RESIDENTIAL"	"77.17"	"395095.05"	"140451.90"	"316853"	"address matched (1)"
"3rd and E Streets, NW (Behind 441 4th building)"	"10/15/2015"	""	"38.896128879526"	"-77.01518582775680"	"Ward 2"	""	""	""	""	""	""	""	""	""	"75.0"	""	""	"904326"	"address matched (1)"
"3rd and G NW"	"4/18/2016"	""	"38.898304155376"	"-77.01518994286640"	"Ward 2"	""	""	""	""	""	""	""	""	""	"62.5"	""	""	"903475"	"address matched (1)"
"3rd & G NW"	"8/22/2017"	""	"38.898304155376"	"-77.01518994286640"	"Ward 2"	""	""	""	""	""	""	""	""	""	"62.5"	""	""	"903475"	"address matched (1)"
"3rd and H NW"	"10/9/2018"	""	"38.89981163621020"	"-77.01515485894330"	"Null"	""	""	""	""	""	""	""	""	""	"62.5"	""	""	"900045"	"address matched (1)"
"3rd & Rhode Island NW"	"10/12/2017"	""	"38.91447790426920"	"-77.01574118238110"	"Null"	""	""	""	""	""	""	""	""	""	"62.5"	""	""	"902701"	"address matched (1)"
"4250 Connecticut Avenue NW 2nd"	"4/11/2017"	"4250 CONNECTICUT AVENUE NW"	"38.94506967"	"-77.06458936"	"Ward 3"	"001200"	"Cluster 12"	"ANC 3F"	"Police Service Area 203"	"Precinct 33"	"20008"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"394400.81"	"141910.36"	"220626"	"address matched (1)"
"4250 Connecticut NW"	"5/24/2018"	"4250 CONNECTICUT AVENUE NW"	"38.94506967"	"-77.06458936"	"Ward 3"	"001200"	"Cluster 12"	"ANC 3F"	"Police Service Area 203"	"Precinct 33"	"20008"	"N"	"N"	"NON RESIDENTIAL"	"85.0"	"394400.81"	"141910.36"	"220626"	"address matched (1)"
"4340 Connecticut Ave, NW (UDC metro)"	"8/15/2015"	"4340 CONNECTICUT AVENUE NW"	"38.94622563"	"-77.06520099"	"Ward 3"	"001200"	"Cluster 12"	"ANC 3F"	"Police Service Area 203"	"Precinct 33"	"20008"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"394347.88"	"142038.72"	"223153"	"address matched (1)"
"441 4th St NW"	"2/15/2018"	"441 4TH STREET NW"	"38.89544638"	"-77.01564460"	"Ward 2"	"005900"	"Cluster 8"	"ANC 2C"	"Police Service Area 102"	"Precinct 143"	"20001"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"398642.84"	"136399.93"	"285552"	"address matched (1)"
"4450 Wisconsin Ave, NW (Tenley-Friendship Library)"	"10/15/2015"	"4450 WISCONSIN AVENUE NW"	"38.94760729"	"-77.07994743"	"Ward 3"	"001001"	"Cluster 11"	"ANC 3E"	"Police Service Area 202"	"Precinct 30"	"20016"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"393069.68"	"142193.15"	"284921"	"address matched (1)"
"45 E Street NW"	"11/20/2018"	"45 E STREET NW"	"38.89645297"	"-77.01102075"	"Ward 6"	"005900"	"Cluster 8"	"ANC 6C"	"Police Service Area 102"	"Precinct 1"	"20001"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"399043.97"	"136511.61"	"295079"	"address matched (1)"
"4th and G SW"	"12/6/2018"	""	"38.88128464474350"	"-77.01755905627840"	"Ward 6"	""	""	""	""	""	""	""	""	""	"62.5"	""	""	"902654"	"address matched (1)"
"6th & Frontage Rd SW"	"3/2/2017"	""	"38.88323953929910"	"-77.019903244577"	"Ward 6"	""	""	""	""	""	""	""	""	""	"100.0"	""	""	"900078"	"address matched (1)"
"600 Frontage Rd SE"	"2/4/2016"	""	"38.88323953929910"	"-77.019903244577"	"Ward 6"	""	""	""	""	""	""	""	""	""	"100.0"	""	""	"900078"	"address matched (1)"
"6th & Frontage Road SW"	"1/5/2017"	""	"38.88323953929910"	"-77.019903244577"	"Ward 6"	""	""	""	""	""	""	""	""	""	"100.0"	""	""	"900078"	"address matched (1)"
"600-900 Pennsylvania Ave NW"	"3/29/2016"	"600 PENNSYLVANIA AVENUE NW"	"38.89273838"	"-77.02116465"	"Ward 2"	"006202"	"null"	"ANC 2C"	"Police Service Area 102"	"Precinct 129"	"20580"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"398163.91"	"136099.38"	"238718"	"address matched (1)"
"4D (6001 Georgia Ave NW)"	"8/29/2017"	"6001 GEORGIA AVENUE NW"	"38.96312578"	"-77.02741098"	"Ward 4"	"001901"	"Cluster 17"	"ANC 4B"	"Police Service Area 402"	"Precinct 58"	"20011"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"397624.37"	"143913.13"	"243485"	"address matched (1)"
"660 North Capitol NW"	"12/20/2018"	"660 NORTH CAPITOL STREET NW"	"38.89860328"	"-77.00943357"	"Ward 6"	"004702"	"Cluster 8"	"ANC 6E"	"Police Service Area 102"	"Precinct 1"	"20001"	"N"	"N"	"NON RESIDENTIAL"	"85.0"	"399181.68"	"136750.26"	"310531"	"address matched (1)"
"660 North Capitol NW"	"10/30/2018"	"660 NORTH CAPITOL STREET NW"	"38.89860328"	"-77.00943357"	"Ward 6"	"004702"	"Cluster 8"	"ANC 6E"	"Police Service Area 102"	"Precinct 1"	"20001"	"N"	"N"	"NON RESIDENTIAL"	"85.0"	"399181.68"	"136750.26"	"310531"	"address matched (1)"
"660 North Capitol NW"	"10/25/2018"	"660 NORTH CAPITOL STREET NW"	"38.89860328"	"-77.00943357"	"Ward 6"	"004702"	"Cluster 8"	"ANC 6E"	"Police Service Area 102"	"Precinct 1"	"20001"	"N"	"N"	"NON RESIDENTIAL"	"85.0"	"399181.68"	"136750.26"	"310531"	"address matched (1)"
"695 Southeast Freeway (I-395 North towards the D Street, SW Exit)"	"6/15/2015"	"null"	"38.884998"	"-77.028024"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"address not matched (2)"
"7th and D NW"	"3/1/2018"	""	"38.89479485489840"	"-77.021907788987"	"Ward 2"	""	""	""	""	""	""	""	""	""	"62.5"	""	""	"903062"	"address matched (1)"
"7th & D StSW"	"1/10/2017"	""	"38.884837933256"	"-77.02190887289680"	"Ward 6"	""	""	""	""	""	""	""	""	""	"75.0"	""	""	"903727"	"address matched (1)"
"7th and Maryland Avenue NE"	"3/9/2016"	""	"38.89493997700080"	"-76.99616621378420"	"Ward 6"	""	""	""	""	""	""	""	""	""	"75.0"	""	""	"900568"	"address matched (1)"
"7th and Pennsylvania Ave NW"	"1/28/2016"	""	"38.89329509898490"	"-77.02191906284960"	"Ward 2"	""	""	""	""	""	""	""	""	""	"75.0"	""	""	"901849"	"address matched (1)"
"8th and H NW"	"10/4/2018"	""	"38.89981420556180"	"-77.02294827031960"	"Ward 2"	""	""	""	""	""	""	""	""	""	"62.5"	""	""	"900406"	"address matched (1)"
"909 E St NW"	"1/26/2016"	"909 E STREET NW"	"38.89635823"	"-77.02477467"	"Ward 2"	"005800"	"Cluster 8"	"ANC 2C"	"Police Service Area 209"	"Precinct 129"	"20004"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"397850.84"	"136501.29"	"243021"	"address matched (1)"
"915 15th St NW"	"11/20/2018"	"915 15TH STREET NW"	"38.90184220"	"-77.03330304"	"Ward 2"	"010100"	"Cluster 8"	"ANC 2F"	"Police Service Area 207"	"Precinct 129"	"20005"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"397111.24"	"137110.29"	"218789"	"address matched (1)"
"9th Street, NE and Brentwood Parkway (Brentwood Reservoir)"	"5/15/2015"	""	"38.911281139512"	"-76.99241474820650"	"Ward 5"	""	""	""	""	""	""	""	""	""	"87.5"	""	""	"905641"	"address matched (1)"
"9th and Barry NW"	"2/1/2018"	""	"38.92077659475550"	"-77.02406482128010"	"Ward 1"	""	""	""	""	""	""	""	""	""	"62.5"	""	""	"900663"	"address matched (1)"
"9th & F NW"	"9/26/2017"	""	"38.89728831188180"	"-77.02397015999010"	"Ward 2"	""	""	""	""	""	""	""	""	""	"62.5"	""	""	"901543"	"address matched (1)"
"Columbia Heights Plaza"	"2/1/2018"	"2900 14TH STREET NW"	"38.92705741"	"-77.03274396"	"Ward 1"	"002802"	"Cluster 2"	"ANC 1A"	"Police Service Area 302"	"Precinct 36"	"20009"	"N"	"Y"	"RESIDENTIAL"	"93.11"	"397160.74"	"139909.37"	"234356"	"address matched (1)"
"E St Expressway NW"	"10/18/2016"	"555 11TH STREET NW"	"38.89669310"	"-77.02665010"	"Ward 2"	"005800"	"Cluster 8"	"ANC 2C"	"Police Service Area 209"	"Precinct 129"	"20004"	"N"	"N"	"NON RESIDENTIAL"	"81.18"	"397688.16"	"136538.51"	"279831"	"address matched (1)"
"1600 Georgia Ave NW"	"7/7/2016"	""	"38.91626166533160"	"-77.02189334031160"	"Ward 1"	""	""	""	""	""	""	""	""	""	"87.5"	""	""	"902879"	"address matched (1)"
"Garfield Park"	"12/26/2018"	"null"	"38.88151040"	"-77.00354769"	"Ward 6"	"006500"	"Cluster 26"	"ANC 6B"	"Police Service Area 106"	"Precinct 130"	"20003"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"399692.18"	"134852.78"	"308165"	"address matched (1)"
"Garfield Park"	"12/6/2018"	"null"	"38.88151040"	"-77.00354769"	"Ward 6"	"006500"	"Cluster 26"	"ANC 6B"	"Police Service Area 106"	"Precinct 130"	"20003"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"399692.18"	"134852.78"	"308165"	"address matched (1)"
"I-395 H Street, NW and Massachusetts Avenue NW(Capitol Crossing Construction Sites)"	"3/15/2015"	""	"38.90131914094390"	"-77.01947966294850"	"Null"	""	""	""	""	""	""	""	""	""	"100.0"	""	""	"902393"	"address matched (1)"
"I-395 H Street, NW and Massachusetts Avenue NW (Capitol Crossing Construction Sites)"	"6/15/2015"	""	"38.90131914094390"	"-77.01947966294850"	"Null"	""	""	""	""	""	""	""	""	""	"100.0"	""	""	"902393"	"address matched (1)"
"K Street Bridge Encampments"	"8/15/2015"	"null"	"38.90524915"	"-77.05577220"	"Ward 2"	"000100"	"Cluster 4"	"ANC 2E"	"Police Service Area 206"	"Precinct 5"	"20007"	"N"	"N"	"NON RESIDENTIAL"	"81.73"	"395162.46"	"137489.44"	"310474"	"address matched (1)"
"Metropolitan Branch Trail and NY Ave NE"	"12/20/2018"	"null"	"38.90948576"	"-77.00213588"	"Ward 5"	"008702"	"Cluster 23"	"ANC 5D"	"Police Service Area 501"	"Precinct 75"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"399814.75"	"137958.30"	"313070"	"address matched (1)"
"Metropolitan Branch Trail and NY Ave NE"	"10/1/2018"	"null"	"38.90948576"	"-77.00213588"	"Ward 5"	"008702"	"Cluster 23"	"ANC 5D"	"Police Service Area 501"	"Precinct 75"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"399814.75"	"137958.30"	"313070"	"address matched (1)"
"Metropolitan Branch Trail and NY Ave NE"	"9/21/2018"	"null"	"38.90948576"	"-77.00213588"	"Ward 5"	"008702"	"Cluster 23"	"ANC 5D"	"Police Service Area 501"	"Precinct 75"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"399814.75"	"137958.30"	"313070"	"address matched (1)"
"Mass & 2nd NW"	"7/25/2017"	""	"38.899288318459"	"-77.01365975599580"	"Ward 6"	""	""	""	""	""	""	""	""	""	"62.5"	""	""	"904834"	"address matched (1)"
"Mass & G NW"	"10/17/2017"	""	"38.89833026564320"	"-77.01118150879430"	"Ward 6"	""	""	""	""	""	""	""	""	""	"62.5"	""	""	"900107"	"address matched (1)"
"Mass and NJ Ave NW"	"5/25/2017"	""	"38.89885693658630"	"-77.01242736804560"	"Ward 6"	""	""	""	""	""	""	""	""	""	"75.0"	""	""	"900070"	"address matched (1)"
"Mitchell Park - 23rd and S St NW"	"3/21/2017"	"null"	"38.91456305"	"-77.04966126"	"Ward 2"	"004100"	"Cluster 1"	"ANC 2D"	"Police Service Area 208"	"Precinct 13"	"20008"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"395693.07"	"138523.09"	"316650"	"address matched (1)"
"NJ Ave between K and L NW"	"3/21/2017"	""	"38.90312523354330"	"-77.01394960925090"	"Ward 6"	""	""	""	""	""	""	""	""	""	"58.68"	""	""	"808887"	"address matched (1)"
"NJ Ave between K and L NW"	"3/28/2017"	""	"38.90312523354330"	"-77.01394960925090"	"Ward 6"	""	""	""	""	""	""	""	""	""	"58.68"	""	""	"808887"	"address matched (1)"
"New Jersey Ave NW, Between I and K Streets (900 block of New Jersey Avenue)"	"9/15/2015"	""	"38.87884857387340"	"-77.00501973127790"	"Ward 6"	""	""	""	""	""	""	""	""	""	"87.19"	""	""	"802284"	"address matched (1)"
"New Jersey Ave and H Streets, SE (CSX construction siteUnder Virginia Ave, SE)"	"7/15/2015"	""	"38.88050935620950"	"-77.00561482850380"	"Ward 6"	""	""	""	""	""	""	""	""	""	"87.5"	""	""	"914316"	"address matched (1)"
"3rd Street Tunnel"	"3/2/2016"	""	"38.90487911540270"	"-77.01618023376850"	"Ward 6"	""	""	""	""	""	""	""	""	""	"100.0"	""	""	"906275"	"address matched (1)"
"3rd Street Tunnel"	"12/19/2017"	""	"38.90487911540270"	"-77.01618023376850"	"Ward 6"	""	""	""	""	""	""	""	""	""	"100.0"	""	""	"906275"	"address matched (1)"
"3rd Street Tunnel"	"12/22/2017"	""	"38.90487911540270"	"-77.01618023376850"	"Ward 6"	""	""	""	""	""	""	""	""	""	"100.0"	""	""	"906275"	"address matched (1)"
"3rd St Tunnel"	"11/1/2018"	""	"38.90487911540270"	"-77.01618023376850"	"Ward 6"	""	""	""	""	""	""	""	""	""	"100.0"	""	""	"906275"	"address matched (1)"
"3rd Street Tunnel"	"9/13/2016"	""	"38.90487911540270"	"-77.01618023376850"	"Ward 6"	""	""	""	""	""	""	""	""	""	"100.0"	""	""	"906275"	"address matched (1)"
"3rd St Tunnel"	"2/15/2018"	""	"38.90487911540270"	"-77.01618023376850"	"Ward 6"	""	""	""	""	""	""	""	""	""	"100.0"	""	""	"906275"	"address matched (1)"
"3rd street Tunnel NY Ave entrance"	"6/15/2017"	""	"38.90487911540270"	"-77.01618023376850"	"Ward 6"	""	""	""	""	""	""	""	""	""	"100.0"	""	""	"906275"	"address matched (1)"
"3rd St Tunnel"	"5/1/2018"	""	"38.90487911540270"	"-77.01618023376850"	"Ward 6"	""	""	""	""	""	""	""	""	""	"100.0"	""	""	"906275"	"address matched (1)"
"3rd St Tunnel"	"7/17/2018"	""	"38.90487911540270"	"-77.01618023376850"	"Ward 6"	""	""	""	""	""	""	""	""	""	"100.0"	""	""	"906275"	"address matched (1)"
"3rd St Tunnel"	"11/27/2018"	""	"38.90487911540270"	"-77.01618023376850"	"Ward 6"	""	""	""	""	""	""	""	""	""	"100.0"	""	""	"906275"	"address matched (1)"
"3rd St Tunnel NW"	"3/27/2017"	""	"38.90487911540270"	"-77.01618023376850"	"Ward 6"	""	""	""	""	""	""	""	""	""	"100.0"	""	""	"906275"	"address matched (1)"
"3rd Street Tunnel NW"	"1/26/2017"	""	"38.90487911540270"	"-77.01618023376850"	"Ward 6"	""	""	""	""	""	""	""	""	""	"100.0"	""	""	"906275"	"address matched (1)"
"3rd Street Tunnel"	"3/1/2016"	""	"38.90487911540270"	"-77.01618023376850"	"Ward 6"	""	""	""	""	""	""	""	""	""	"100.0"	""	""	"906275"	"address matched (1)"
"700 3rd St NW"	"2/25/2016"	""	"38.90487911540270"	"-77.01618023376850"	"Ward 6"	""	""	""	""	""	""	""	""	""	"100.0"	""	""	"906275"	"address matched (1)"
"NoMa - First St NE"	"8/24/2017"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"75.35"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - First St NE"	"10/26/2017"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"75.35"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - First St NE"	"10/25/2018"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"75.35"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - First St NE"	"6/21/2018"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"75.35"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - First St NE"	"7/19/2018"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"75.35"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - First St NE"	"10/11/2018"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"75.35"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - First St NE"	"11/8/2018"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"75.35"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - First St NE"	"12/15/2015"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"75.35"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - First St NE"	"4/12/2018"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"75.35"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - First St NE"	"5/9/2018"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"75.35"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - First St NE"	"5/10/2018"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"75.35"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - First St NE"	"12/20/2016"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"75.35"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - First St NE"	"9/27/2018"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"75.35"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - First St NE"	"9/13/2018"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"75.35"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - First St NE"	"2/9/2016"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"75.35"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - First St NE"	"3/11/2016"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"75.35"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - First St NE"	"8/14/2018"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"75.35"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - First St NE"	"4/10/2018"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"75.35"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - First St NE"	"8/30/2018"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"75.35"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - First St NE"	"8/4/2016"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"75.35"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - Underpass(es)"	"6/5/2017"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"74.6"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - Underpass(es)"	"9/27/2018"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"74.6"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - Underpass(es)"	"3/30/2018"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"74.6"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - Underpass(es)"	"2/2/2016"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"74.6"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - Underpass(es)"	"7/20/2017"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"74.6"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - Underpass(es)"	"4/11/2017"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"74.6"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - Underpass(es)"	"7/19/2018"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"74.6"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - Underpass(es)"	"12/15/2015"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"74.6"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - Underpass(es)"	"5/9/2018"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"74.6"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - Underpass(es)"	"10/11/2018"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"74.6"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - Underpass(es)"	"8/2/2016"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"74.6"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - Underpass(es)"	"11/20/2018"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"74.6"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - Underpass(es)"	"2/27/2018"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"74.6"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - Underpass(es)"	"1/11/2018"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"74.6"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
"NoMa - Underpass(es)"	"4/13/2017"	"1301 2ND STREET NE"	"38.90737634"	"-77.00326985"	"Ward 6"	"010600"	"Cluster 25"	"ANC 6C"	"Police Service Area 501"	"Precinct 83"	"20002"	"N"	"N"	"NON RESIDENTIAL"	"74.6"	"399716.39"	"137724.14"	"316364"	"address matched (1)"
