OBJECTID,NAME,ADDRESS,FACUSE,LEVEL_,STATUS,PHONE,UNGRADED,TOTAL_STUD,SSL,GIS_ID,WEB_URL,ADDR_ID,BLDG_NUM,SCH_PROG,CAPITALGAINS,CAPACITY,YEAR_BUILT,SQUARE_FOOTAGE,POPULATION_PLAN,POPULATION_ENROLLED_2008,X,Y,ADDRID,ZIP_CODE,LONGITUDE,LATITUDE
111,Kimball Elementary School,3375 MINNESOTA AVENUE SE,Elementary School,ES,Active,202-671-6260,,313, ,dcps_259,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294565,259,259,N,474,1942,83400,400,321,403681.18,135028.21,294565,20019,-76.95757271,38.88308309
112,Van Ness Elementary School,1150 5TH STREET SE,Elementary School,ES,Active,202-698-3818,,,,dcps_972,http://vannesselementary.org/,294508,,,,,,,,,400065.6,134329.49,294508,20003,-76.999244,38.87679645
113,Shaw Middle School,2001 10TH STREET NW,Middle School,MS,Not Open,202-673-7329,,,,dcps_971,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294533,,,,,,,,,397767,138853.23,294533,20001,-77.02574879,38.91754511
114,MacFarland Middle School,4400 IOWA AVENUE NW,Middle School,MS,Not Open,,,,,dcps_973,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294595,,,,,,,,,397592.04,141746.55,294595,20011,-77.02777641,38.94360856
115,New North Middle School,6201 5TH STREET NW,Middle School,MS,Not Open,,,,,dcps_974,http://nms.sdmf.schoolfusion.us/,294614,,,,,,,,,398332.71,144216.17,294614,20011,-77.019239,38.965857
116,Brookland Middle School,1150 MICHIGAN AVENUE NE,Middle School,MS,Active,202-576-6095,,, ,dcps_975,https://brooklandms.wordpress.com/,294507,975,975,N,,,,,,400775.13,141176.41,294507,20017,-76.991059,38.938476
117,Bunker Hill Elementary School,1401 MICHIGAN AVENUE NE,Elementary School,ES,Active,202-576-6095,,304, ,dcps_346,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,286131,346,346,N,,,,,,401300.77,141569.11,286131,20017,-76.98499564,38.94201247
118,Columbia Heights Education Campus 9–12 (CHEC),3101 16TH STREET NW,High School//Specialized,HS,Active,202-939-7700,0,429, ,dcps_976,http://checdc.org/home.php,234375,475,475,N,,,,,,396890.8,140185.59,234375,20010,-77.03585831,38.92954477
119,Dorothy I. Height Elementary School,1300 ALLISON STREET NW,Elementary School,ES,Active,202-723-4100,,,,dcps_977,http://www.dorothyheightes.org/,255251,,,,,,,,,397352.45,141867.84,255251,20011,-77.030541,38.9447
120,River Terrace Education Campus,420 34TH STREET NE,Special Education,EC,Active,202-442-7111,,,,dcps_978,http://profiles.dcps.dc.gov/,294485,,,,,,,,,403660.17,136398.67,294485,20019,-76.957808,38.895429
121,MacFarland Middle School (Dual Language),4400 IOWA AVENUE NW,Middle School,MS,Not Open,,,,,dcps_979,http://www.myschooldc.org/schools/profile/392/,294595,,,,,,,,,397592.04,141746.55,294595,20011,-77.027776,38.943609
122,Ron Brown College Preparatory High School,4800 MEADE STREET NE,High School,HS,,,,,,dcps_980,http://dcps.dc.gov/page/empowering-males-high-school,294601,,,,,,,,,405836.91,137635.93,294601,20019,-76.932705,38.906563
